Banco,Fecha Alta,Fecha de Vencimiento,Capital Inicial,TNA,Ganancias,Monto Total,Recibido (S/N),"Servicio ofrecido 
(B/R/M)",Comentarios,,,,,,,,,,,,,,
Banco Bica,27/10/2025,26/11/2025,15200000,54,684000,15884054,S,B,,,,,,,,,,,,,,,
Credito Regional,29/10/2025,28/11/2025,9900000,54,439397.26,10339451.26,S,R,"Pide mas datos 
de lo necesitado",,,,,,,,,,,,,,
Banco Meridian,29/10/2025,28/11/2025,4400000,54,198000,4598054,S,B,Es hasta 10M,,,,,,,,,,,,,,
Banco Bica,7/11/2025,9/12/2025,35500000,35,1089315.07,36589350.07,S,,,,,,,,,,,,,,,,
Banco Meridian,10/11/2025,10/12/2025,6200000,35,178356.16,6378391.16,S,,,,,,,,,,,,,,,,
Banco Voii,12/11/2025,12/12/2025,5700000,36,168657.53,5868693.53,S,B,"Es rapido y a toda
hora",,,,,,,,,,,,,,
Banco Meridian,18/11/2025,18/12/2025,10000000,33.5,275342.46,10275375.96,N,,,,,,,,,,,,,,,,
Banco Mariva,19/11/2025,19/12/2025,10200000,32,268273.97,10468305.97,N,,,,,,,,,,,,,,,,
Banco Bica,27/12/2025,28/12/2025,15890000,32,423723.33,16313755.33,N,,,,,,,,,,,,,,,,
Banco Meridian,2/12/2025,2/1/2026,10000000,31.5,267534.24,10267565.74,N,,,,,,,,,,,,,,,,
Banco Voii,4/12/2025,5/1/2026,4900000,32,133162.6,5033194.6,N,,,,,,,,,,,,,,,,
Banco Meridian,9/12/2025,8/1/2026,10000000,29.5,242465.75,10242495.25,N,,,,,,,,,,,,,,,,
Banco Bica,9/12/2025,12/1/2026,16590000,29,395432.88,16985461.88,N,,,,,,,,,,,,,,,,
Banco Meridian,10/12/2025,12/1/2026,10000000,28.5,234246.57,10234275.07,N,,,,,,242465.75,242465.75,N,Banco Meridian,9/12/2025,8/1/2026,10000000,29.5,242465.75,10242495.25,N
Banco Bica,9/12/2025,12/1/2026,6380000,28,146827.4,6526855.4,N,,,,,,,,,,,,,,,,
Banco Meridian,15/12/2025,14/1/2026,5930000,27.5,134034.24,6064061.74,N,,,,,,242465.75,242465.75,N,Banco Meridian,9/12/2025,8/1/2026,10000000,29.5,242465.75,10242495.25,N
Totales,,,176790000,35.72,5278769.46,182069341,,,,,,,,,,,,,,,,,
