Fecha Alta,Fecha Vencimiento,Descripción,Nro. Certificado,Estado,TNA,Moneda,Capital Inicial,Ret. Imp. Ganancias,Capital UVA,Interés,Ajuste Cer Interés,Ajuste Cer Capital,Beneficio/Millas,Monto Total,Valorización Millas LAN,Interés Proporcional 2018,Ajuste Interés Proporcional 2018,Ajuste Capital Proporcional 2018
04/07/2025,04/08/2025,Clásico,020715/4-00003,PAGADO,"31,00",$,"5.000.000,00","0,00","0,00","131643,84",,,,"5.131.643,84",,"0,00","0,00","0,00"
14/07/2025,13/08/2025,Clásico,020715/4-00004,PAGADO,"31,00",$,"1.000.000,00","0,00","0,00","25479,45",,,,"1.025.479,45",,"0,00","0,00","0,00"
15/07/2025,14/08/2025,Clásico,020774/1-00001,PAGADO,"31,00",$,"6.400.000,00","0,00","0,00","163068,49",,,,"6.563.068,49",,"0,00","0,00","0,00"
25/06/2025,25/08/2025,Clásico,020715/4-00001,PAGADO,"31,25",$,"40.000,00","0,00","0,00","2089,04",,,,"42.089,04",,"0,00","0,00","0,00"
25/06/2025,25/08/2025,Clásico,020715/4-00002,PAGADO,"31,25",$,"699.289,00","0,00","0,00","36521,09",,,,"735.810,09",,"0,00","0,00","0,00"
29/07/2025,28/08/2025,Clásico,020774/1-00003,PAGADO,"32,00",$,"25.000,00","0,00","0,00","657,53",,,,"25.657,53",,"0,00","0,00","0,00"
29/07/2025,28/08/2025,Clásico,020774/1-00004,PAGADO,"32,00",$,"64.187,27","0,00","0,00","1688,21",,,,"65.875,48",,"0,00","0,00","0,00"
04/08/2025,03/09/2025,Clásico,020715/4-00005,PAGADO,"32,00",$,"5.000.000,00","0,00","0,00","131506,85",,,,"5.131.506,85",,"0,00","0,00","0,00"
08/08/2025,08/09/2025,Clásico,020715/4-00006,PAGADO,"36,50",$,"6.400.000,00","0,00","0,00","198400,00",,,,"6.598.400,00",,"0,00","0,00","0,00"
08/08/2025,08/09/2025,Clásico,020715/4-00007,PAGADO,"37,00",$,"12.800.000,00","0,00","0,00","402235,62",,,,"13.202.235,62",,"0,00","0,00","0,00"
11/08/2025,10/09/2025,Clásico,020715/4-00008,PAGADO,"36,50",$,"3.850.000,00","0,00","0,00","115500,00",,,,"3.965.500,00",,"0,00","0,00","0,00"
13/08/2025,12/09/2025,Clásico,020715/4-00009,PAGADO,"38,00",$,"1.060.000,00","0,00","0,00","33106,85",,,,"1.093.106,85",,"0,00","0,00","0,00"
